episode,reward
1000,0.06
2000,0.0435
3000,0.141
4000,0.123
5000,0.1015
6000,0.177
7000,0.214
8000,0.007
9000,0.2085
10000,0.158
11000,0.0815
12000,0.071
13000,0.0685
14000,0.1055
15000,0.1965
16000,0.1035
17000,0.073
18000,0.1005
19000,0.092
20000,0.156
21000,0.246
22000,0.165
23000,0.2225
24000,0.0725
25000,0.1
26000,0.0405
27000,0.0595
28000,0.091
29000,0.107
30000,0.128
31000,0.1925
32000,0.2185
33000,0.1585
34000,0.013
35000,0.007
36000,0.107
37000,0.1675
38000,0.127
39000,0.0465
40000,0.0925
41000,0.2565
42000,0.137
43000,0.169
44000,0.235
45000,0.2375
46000,0.194
47000,0.1885
48000,0.1765
49000,0.172
50000,0.2055
51000,0.115
52000,-0.0045
53000,0.096
54000,0.198
55000,0.195
56000,0.1665
57000,0.0595
58000,0.0545
59000,0.26
60000,0.0225
61000,0.127
62000,0.1675
63000,0.113
64000,0.094
65000,0.1
66000,0.1055
67000,0.026
68000,0.177
69000,0.073
70000,0.194
71000,0.224
72000,0.114
73000,0.161
74000,0.2255
75000,0.1335
76000,0.046
77000,0.095
78000,0.019
79000,0.172
80000,0.1645
81000,0.201
82000,0.1185
83000,0.132
84000,0.1615
85000,0.0805
86000,0.094
87000,0.158
88000,0.1385
89000,0.094
90000,0.174
91000,0.1265
92000,0.1345
93000,0.1445
94000,0.058
95000,0.1355
96000,0.232
97000,0.0525
98000,0.159
99000,0.1265
100000,0.2005
101000,0.0305
102000,0.107
103000,0.2195
104000,0.087
105000,0.181
106000,0.0435
107000,0.0895
108000,0.063
109000,0.0805
110000,0.189
111000,0.26
112000,0.122
113000,0.1605
114000,0.1645
115000,0.148
116000,0.0605
117000,0.1515
118000,0.0545
119000,0.044
120000,0.222
121000,0.1525
122000,0.129
123000,0.1745
124000,0.1745
125000,0.015
126000,0.1145
127000,0.1385
128000,0.1565
129000,0.1855
130000,0.2175
131000,0.0995
132000,0.1735
133000,0.162
134000,0.179
135000,0.2335
136000,0.129
137000,0.092
138000,0.0875
139000,0.161
140000,0.132
141000,0.2175
142000,0.25
143000,0.2975
144000,0.121
145000,0.133
146000,0.203
147000,0.051
148000,0.1445
149000,0.192
150000,0.033
151000,0.139
152000,0.2245
153000,0.037
154000,0.2455
155000,0.086
156000,0.1575
157000,0.068
158000,0.136
159000,0.11
160000,0.1765
161000,0.1835
162000,0.2945
163000,0.234
164000,0.1975
165000,0.147
166000,0.173
167000,0.074
168000,0.064
169000,0.1515
170000,0.331
171000,0.0515
172000,0.1255
173000,0.172
174000,0.0665
175000,0.276
176000,0.1215
177000,0.193
178000,0.2045
179000,0.098
180000,0.1555
181000,0.253
182000,0.1395
183000,0.1075
184000,0.1435
185000,0.1765
186000,0.122
187000,-0.065
188000,0.131
189000,0.1075
190000,0.1515
191000,0.1575
192000,0.0235
193000,0.1375
194000,0.0855
195000,0.075
196000,0.276
197000,0.036
198000,0.172
199000,0.1735
200000,0.128
201000,0.0695
202000,0.075
203000,0.041
204000,0.1025
205000,0.102
206000,0.0475
207000,0.207
208000,0.1125
209000,0.0815
210000,0.088
211000,0.195
212000,0.1185
213000,0.067
214000,0.137
215000,0.1065
216000,0.1505
217000,0.097
218000,0.171
219000,0.098
220000,0.2405
221000,0.095
222000,0.1565
223000,0.022
224000,0.2455
225000,0.298
226000,0.1045
227000,0.016
228000,0.036
229000,0.048
230000,0.187
231000,0.097
232000,0.2745
233000,0.15
234000,0.1325
235000,0.173
236000,0.18
237000,0.1285
238000,0.114
239000,0.209
240000,0.098
241000,0.134
242000,0.088
243000,0.0965
244000,0.0895
245000,0.184
246000,0.165
247000,0.21
248000,0.133
249000,0.1675
250000,0.1075
251000,0.149
252000,0.11
253000,0.1465
254000,0.1485
255000,0.152
256000,0.113
257000,0.131
258000,0.229
259000,0.1575
260000,0.198
261000,-0.0095
262000,0.128
263000,0.0865
264000,0.316
265000,0.1425
266000,0.119
267000,0.1815
268000,0.1365
269000,0.209
270000,0.111
271000,0.1725
272000,0.199
273000,0.179
274000,0.161
275000,0.1245
276000,0.1195
277000,0.0755
278000,0.059
279000,0.248
280000,0.209
281000,0.156
282000,0.1965
283000,0.24
284000,0.0555
285000,0.0745
286000,0.156
287000,0.1195
288000,0.1245
289000,0.0985
290000,0.1495
291000,0.1335
292000,0.122
293000,0.23
294000,0.1985
295000,0.1105
296000,0.2825
297000,0.203
298000,0.015
299000,0.1535
300000,0.1185
